                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.74474,                 2.9232,                 1.1998,                 0.0198,                0.92241,                0.40411,                0.33996,                0.50142,                 3.0214,                0.90903,             0.00011432,             0.00011432,             0.00011432
                      2,                0.71527,                 1.9218,                 1.1667,                      1,                0.17928,                 0.4624,                0.38382,                0.49766,                 2.7904,                0.93843,             0.00023491,             0.00023491,             0.00023491
                      3,                0.70868,                 1.4252,                 1.1465,                      1,                0.20695,                0.69317,                0.54996,                0.62538,                 2.6012,                 1.0134,             0.00034702,             0.00034702,             0.00034702
                      4,                0.67612,                 1.2026,                 1.1292,                0.97252,                0.44505,                0.74614,                0.58949,                  0.648,                 1.8248,                 1.0592,             0.00045064,             0.00045064,             0.00045064
                      5,                0.75012,                 1.1704,                 1.1972,                0.78088,                0.71833,                0.82036,                0.62995,                0.67723,                   1.35,                 1.0822,             0.00054576,             0.00054576,             0.00054576
                      6,                0.71219,                 1.0747,                 1.1249,                0.93932,                 0.7584,                0.87023,                0.65541,                0.69987,                 1.3383,                 1.0931,              0.0006324,              0.0006324,              0.0006324
                      7,                0.68872,                 1.0471,                  1.112,                0.92662,                 0.7484,                0.85973,                0.66892,                0.65903,                 1.2453,                 1.0353,             0.00071056,             0.00071056,             0.00071056
                      8,                 0.6578,                0.99635,                 1.0753,                0.86137,                0.63076,                 0.8107,                  0.593,                0.71933,                 1.2299,                 1.0854,             0.00078022,             0.00078022,             0.00078022
                      9,                0.64852,                0.93702,                 1.0601,                 0.6703,                0.64823,                0.69859,                 0.4175,                0.90863,                 1.7954,                 1.2243,              0.0008414,              0.0008414,              0.0008414
                     10,                0.69456,                0.92237,                 1.1018,                0.92844,                 0.6246,                0.82371,                0.65821,                0.63142,                 1.3431,                 1.0198,             0.00089408,             0.00089408,             0.00089408
                     11,                0.62999,                0.87586,                  1.045,                0.85932,                0.70846,                0.84635,                0.64416,                0.72512,                 1.2316,                 1.0728,             0.00093828,             0.00093828,             0.00093828
                     12,                0.64944,                0.84451,                 1.0632,                0.79396,                0.69233,                0.81357,                0.59991,                0.72813,                 1.2753,                 1.1127,             0.00091027,             0.00091027,             0.00091027
                     13,                0.65638,                0.85196,                 1.0942,                0.87707,                0.80039,                0.90234,                0.69864,                 0.6405,                 1.1182,                 1.0458,             0.00086312,             0.00086312,             0.00086312
                     14,                0.64963,                0.85136,                 1.0749,                0.98416,                 0.7453,                0.90578,                0.71814,                0.66057,                 1.0953,                 1.0368,             0.00081596,             0.00081596,             0.00081596
                     15,                0.62246,                0.80953,                 1.0632,                0.92417,                0.82602,                0.92394,                0.73263,                0.61669,                 0.9858,                 1.0267,              0.0007688,              0.0007688,              0.0007688
                     16,                0.60134,                0.80149,                 1.0614,                0.85257,                0.83686,                0.90449,                0.71209,                0.65168,                0.90962,                 1.0489,             0.00072164,             0.00072164,             0.00072164
                     17,                0.59244,                0.77563,                 1.0535,                0.92811,                    0.8,                0.92362,                 0.7275,                0.65415,                0.94657,                 1.0154,             0.00067449,             0.00067449,             0.00067449
                     18,                0.54737,                0.72955,                 1.0234,                0.95612,                0.87274,                0.92734,                0.72916,                0.63839,                 0.8615,                 1.0161,             0.00062733,             0.00062733,             0.00062733
                     19,                 0.5795,                0.72047,                 1.0362,                0.97578,                0.89335,                0.93949,                0.77646,                0.62165,                0.78458,                 1.0028,             0.00058017,             0.00058017,             0.00058017
                     20,                0.58132,                 0.7119,                  1.031,                0.87909,                0.92738,                 0.9396,                0.77913,                  0.548,                0.74548,                0.98239,             0.00053302,             0.00053302,             0.00053302
                     21,                 0.5531,                 1.0281,                 1.0306,                0.94886,                 0.8942,                0.94561,                 0.7643,                0.63489,                0.85525,                 1.0373,             0.00048586,             0.00048586,             0.00048586
                     22,                0.52963,                0.89263,                 1.0277,                0.92011,                0.85423,                0.92302,                0.67579,                0.79278,                 1.1156,                  1.104,              0.0004387,              0.0004387,              0.0004387
                     23,                0.49976,                0.87092,                0.99433,                0.93691,                0.84561,                0.93785,                0.75772,                0.69358,                0.96005,                 1.0212,             0.00039155,             0.00039155,             0.00039155
                     24,                0.48471,                 0.8164,                0.97882,                0.91202,                0.93483,                0.96047,                0.81656,                 0.5535,                 0.7235,                0.94626,             0.00034439,             0.00034439,             0.00034439
                     25,                0.48529,                0.76877,                0.98043,                0.93447,                0.94279,                 0.9738,                 0.8193,                0.51793,                0.70489,                 0.9277,             0.00029723,             0.00029723,             0.00029723
                     26,                0.46277,                0.77307,                0.97234,                0.95085,                0.94073,                0.96691,                0.81869,                 0.5249,                0.68798,                0.92939,             0.00025007,             0.00025007,             0.00025007
                     27,                0.44516,                0.72673,                0.94162,                 0.9416,                0.94232,                0.97081,                0.82889,                0.52381,                0.67229,                0.92075,             0.00020292,             0.00020292,             0.00020292
                     28,                0.43799,                0.69822,                0.94537,                0.97164,                0.90282,                 0.9603,                0.83957,                0.48853,                0.65216,                 0.9038,             0.00015576,             0.00015576,             0.00015576
                     29,                0.41969,                 0.7086,                0.94785,                  0.974,                0.91052,                0.95896,                0.83531,                0.48318,                0.65868,                0.90276,              0.0001086,              0.0001086,              0.0001086
                     30,                0.41761,                0.67209,                0.94602,                0.97392,                0.91144,                0.96413,                0.84334,                0.48848,                0.65454,                0.90495,             6.1447e-05,             6.1447e-05,             6.1447e-05
